"","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","responseAR","cuedAR","uncuedAR","coherence","cued_motion_dir","uncued_motion_dir","response_error","trial_number","round_number","sub","arDiff","pairAvg","cuedMotDir1V0H2R","global_org1W0B","sameDirection1S0D","sameDirection1S0D_R2","pairSameARCat","identicalShapesI1D0","randomTrialsR1C0","motionType1Diag0Trans","responseAR_normed","uncuedCat","cuedCat","respAcc","globalMotion"
"9626",1584,4,2,90,270,-0.32,0.09,-0.19,1,270,90,-0.41699,70,1,19106,-0.27799,-0.046335,1,1,0,0,0,0,0,0,-0.355206666666667,"-1",1,0,"1"
"9627",1401,4,2,0,180,0.19,0.05,-0.28,1,180,0,0.139,71,1,19106,-0.32432,-0.11583,0,1,0,0,0,0,0,0,0.15637375,"-1",1,1,"-1"
"9628",3226,1,2,180,180,0.05,0.37,-0.46,1,180,180,-0.32432,72,1,19106,-0.83397,-0.046335,0,0,1,1,0,0,0,1,-0.235870909090909,"-1",1,1,"-1"
"9629",1334,3,1,90,270,0.23,0.28,0.05,1,90,270,-0.04633,73,1,19106,-0.23166,0.16216,1,1,0,0,1,0,0,0,-0.01158,"1",1,1,"1"
"9630",1118,3,2,270,270,0.14,0.19,0.19,1,270,270,-0.04633,74,1,19106,0,0.18533,1,1,1,1,1,1,0,1,-0.13385,"1",1,1,"1"
"9631",1317,4,2,270,180,0.05,0,0.42,1,180,270,0.04633,75,1,19106,0.41699,0.208495,0,1,0,0,0,0,0,0,-0.16216,"1",0,0,"-1"
"9632",1919,4,1,270,90,-0.32,-0.28,-0.28,1,270,90,-0.04633,76,1,19106,0,-0.27799,1,1,0,0,1,1,0,0,-0.200768888888889,"-1",-1,1,"1"
"9634",1791,3,2,0,270,0.23,0,-0.32,1,270,0,0.23166,78,1,19106,-0.32432,-0.16216,1,1,0,0,0,0,0,1,0.02317,"-1",0,0,"1"
"9636",1478,3,2,0,180,0.32,0.37,0.05,1,180,0,-0.04633,80,1,19106,-0.32432,0.20849,0,1,0,0,1,0,0,0,0.0421190909090909,"1",1,1,"-1"
"9638",1364,4,2,90,0,-0.14,-0.37,-0.37,1,0,90,0.23166,82,1,19106,0,-0.37066,0,1,0,0,1,1,0,0,0.0716,"-1",-1,1,"-1"
"9639",1584,4,1,0,90,0.23,0.23,0.23,1,0,90,0,83,1,19106,0,0.23166,0,1,0,0,1,1,0,0,-0.00661857142857142,"1",1,1,"-1"
"9640",1651,1,1,270,270,0.23,0.46,-0.42,1,270,270,-0.23166,84,1,19106,-0.88031,0.023165,1,0,1,1,0,0,0,1,0.0968790909090909,"-1",1,1,"1"
"9643",1154,4,1,90,270,0.09,-0.42,-0.42,1,90,270,0.50965,87,1,19106,0,-0.41699,1,1,0,0,1,1,0,0,0.25019,"-1",-1,0,"1"
"9644",2020,4,2,270,180,0.37,0.46,0.14,1,180,270,-0.09266,88,1,19106,-0.32433,0.301155,0,1,0,0,1,0,0,0,0.235869090909091,"1",1,1,"-1"
"9645",1609,3,2,0,90,0.19,0.32,0.37,1,90,0,-0.139,89,1,19106,0.04633,0.347485,1,1,0,0,1,0,0,0,0.1737475,"1",1,1,"1"
"9646",2284,1,2,90,90,-0.19,-0.23,0,1,90,90,0.04633,90,1,19106,0.23166,-0.11583,1,0,1,1,0,0,0,1,-0.0694975,"0",-1,1,"1"
"9647",1820,2,2,270,0,-0.28,0.42,-0.23,1,0,270,-0.69498,91,1,19106,-0.64865,0.092665,0,0,0,0,0,0,0,1,-0.389184,"-1",1,0,"-1"
